fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,state,county,cousub,pop2010,hu2010,state_alpha
100199999,631,742,890,1133,1558,1,1,99999,54571,22135,AL
100399999,786,809,929,1351,1578,1,3,99999,182265,104061,AL
100599999,527,531,706,885,998,1,5,99999,27457,11829,AL
100799999,749,832,955,1273,1424,1,7,99999,22915,8981,AL
100999999,749,832,955,1273,1424,1,9,99999,57322,23887,AL
101199999,512,513,643,873,876,1,11,99999,10914,4493,AL
101399999,478,481,640,855,905,1,13,99999,20947,9964,AL
101599999,507,542,721,942,1099,1,15,99999,118572,53289,AL
101799999,486,615,738,925,1005,1,17,99999,34215,17004,AL
101999999,512,516,686,966,970,1,19,99999,25989,16267,AL
102199999,564,615,706,1027,1243,1,21,99999,43643,19278,AL
102399999,541,545,725,909,1025,1,23,99999,13859,7269,AL
102599999,483,528,606,881,978,1,25,99999,25833,12638,AL
102799999,513,528,606,881,1067,1,27,99999,13932,6776,AL
102999999,516,520,691,866,1136,1,29,99999,14972,6718,AL
103199999,581,583,686,998,1208,1,31,99999,49948,22330,AL
103399999,561,564,713,945,1183,1,33,99999,54428,25758,AL
103599999,453,456,606,854,857,1,35,99999,13228,7093,AL
103799999,541,541,679,915,960,1,37,99999,11539,6478,AL
103999999,474,477,634,838,1117,1,39,99999,37765,18829,AL
104199999,456,459,606,773,971,1,41,99999,13906,6735,AL
104399999,513,544,674,890,918,1,43,99999,80406,37054,AL
104599999,427,516,652,892,1148,1,45,99999,50251,22677,AL
104799999,474,517,606,813,933,1,47,99999,43820,20208,AL
104999999,453,456,606,780,825,1,49,99999,71109,31109,AL
105199999,631,742,890,1133,1558,1,51,99999,79303,32657,AL
105399999,527,542,623,819,849,1,53,99999,38319,16486,AL
105599999,530,533,709,889,1042,1,55,99999,104430,47454,AL
105799999,483,528,606,851,857,1,57,99999,17241,8437,AL
105999999,490,526,615,771,869,1,59,99999,31704,14022,AL
106199999,572,576,748,1005,1173,1,61,99999,26790,12687,AL
106399999,483,483,606,854,857,1,63,99999,9045,5007,AL
106599999,640,704,859,1103,1170,1,65,99999,15760,7655,AL
106799999,570,586,673,844,1185,1,67,99999,17302,8891,AL
106999999,572,576,748,1005,1173,1,69,99999,101547,45319,AL
107199999,418,542,655,821,892,1,71,99999,53227,24786,AL
107399999,749,832,955,1273,1424,1,73,99999,658466,300552,AL
107599999,483,523,606,854,857,1,75,99999,14564,7354,AL
107799999,561,564,713,945,1183,1,77,99999,92709,43791,AL
107999999,465,549,703,917,974,1,79,99999,34339,15229,AL
108199999,598,680,889,1190,1439,1,81,99999,140247,62391,AL
108399999,558,646,768,1034,1353,1,83,99999,82782,34977,AL
108599999,631,742,890,1133,1558,1,85,99999,11299,5140,AL
108799999,474,477,634,911,1059,1,87,99999,21452,10259,AL
108999999,558,646,768,1034,1353,1,89,99999,334811,146447,AL
109199999,483,498,606,881,1067,1,91,99999,21027,10237,AL
109399999,453,456,606,804,953,1,93,99999,30776,14737,AL
109599999,492,495,655,889,892,1,95,99999,93019,40342,AL
109799999,728,733,901,1182,1369,1,97,99999,412992,178196,AL
109999999,483,528,606,769,899,1,99,99999,23068,11333,AL
110199999,631,742,890,1133,1558,1,101,99999,229363,101641,AL
110399999,465,549,703,917,974,1,103,99999,119490,51193,AL
110599999,513,528,606,854,857,1,105,99999,10591,4737,AL
110799999,451,456,606,822,825,1,107,99999,19746,9483,AL
110999999,554,558,669,909,911,1,109,99999,32899,15267,AL
111199999,435,539,682,974,1074,1,111,99999,22913,11982,AL
111399999,672,742,891,1236,1569,1,113,99999,52947,24595,AL
111599999,749,832,955,1273,1424,1,115,99999,83593,35541,AL
111799999,749,832,955,1273,1424,1,117,99999,195085,80970,AL
111999999,558,562,747,937,1017,1,119,99999,13763,6786,AL
112199999,494,497,661,897,922,1,121,99999,82291,37088,AL
112399999,540,554,638,902,1026,1,123,99999,41616,22111,AL
112599999,640,704,859,1103,1170,1,125,99999,194656,84872,AL
112799999,534,537,697,881,1041,1,127,99999,67023,30816,AL
112999999,547,547,686,863,970,1,129,99999,17581,8407,AL
113199999,483,528,606,854,857,1,131,99999,11670,5649,AL
113399999,453,456,606,881,1009,1,133,99999,24484,13469,AL
201399999,791,964,1107,1388,1508,2,13,99999,3141,747,AK
201699999,1135,1338,1779,2230,2738,2,16,99999,5561,1929,AK
202099999,978,1097,1417,2061,2496,2,20,99999,291826,113032,AK
205099999,1165,1419,1630,2044,2220,2,50,99999,17013,5919,AK
206099999,941,1002,1317,1699,1794,2,60,99999,997,969,AK
206899999,1086,1178,1520,1906,2339,2,68,99999,1826,1771,AK
207099999,1143,1181,1356,1878,2087,2,70,99999,4847,2427,AK
209099999,924,1089,1449,2108,2552,2,90,99999,97581,41783,AK
210099999,725,883,1014,1284,1560,2,100,99999,2508,1631,AK
210599999,556,675,871,1182,1186,2,105,99999,2150,1771,AK
211099999,966,1138,1514,2165,2667,2,110,99999,31275,13055,AK
212299999,868,874,1154,1496,1689,2,122,99999,55400,30578,AK
213099999,864,1019,1355,1780,2387,2,130,99999,13477,6166,AK
215099999,1065,1095,1258,1830,2004,2,150,99999,13592,5303,AK
215899999,710,866,994,1246,1354,2,158,99999,7459,2183,AK
216499999,677,809,947,1187,1457,2,164,99999,1631,1502,AK
217099999,777,877,1167,1698,2055,2,170,99999,88995,41329,AK
218099999,1077,1426,1689,2118,2300,2,180,99999,9492,4008,AK
218599999,1025,1137,1306,1768,2258,2,185,99999,9430,2500,AK
218899999,1209,1243,1428,1938,1945,2,188,99999,7523,2707,AK
219599999,716,844,1123,1408,1728,2,195,99999,3815,1994,AK
219899999,843,849,1101,1380,1500,2,198,99999,5559,2992,AK
222099999,963,1074,1344,1868,2367,2,220,99999,8881,4102,AK
223099999,1048,1183,1467,2134,2258,2,230,99999,968,636,AK
224099999,930,1098,1301,1892,2291,2,240,99999,7029,3915,AK
226199999,894,961,1278,1602,1967,2,261,99999,9636,6102,AK
227599999,750,755,1004,1276,1545,2,275,99999,2369,1428,AK
228299999,843,887,1180,1479,1816,2,282,99999,662,450,AK
229099999,653,658,841,1101,1481,2,290,99999,5588,4038,AK
400199999,508,595,697,998,1206,4,1,99999,71518,32514,AZ
400399999,675,679,852,1239,1501,4,3,99999,131346,59041,AZ
400599999,835,982,1206,1545,1836,4,5,99999,134421,63321,AZ
400799999,684,689,916,1159,1248,4,7,99999,53597,32698,AZ
400999999,630,688,831,1209,1433,4,9,99999,37220,12980,AZ
401199999,547,547,722,905,983,4,11,99999,8437,4372,AZ
401299999,590,594,790,990,1170,4,12,99999,20489,16049,AZ
401399999,730,870,1082,1574,1813,4,13,99999,3817117,1639279,AZ
401599999,594,659,839,1205,1331,4,15,99999,200186,110911,AZ
401799999,615,619,777,1043,1203,4,17,99999,107449,56938,AZ
401999999,579,682,907,1319,1554,4,19,99999,980263,440909,AZ
402199999,730,870,1082,1574,1813,4,21,99999,375770,159222,AZ
402399999,571,571,760,1031,1035,4,23,99999,47420,18010,AZ
402599999,706,711,945,1348,1352,4,25,99999,211033,110432,AZ
402799999,630,650,865,1258,1524,4,27,99999,195751,87850,AZ
500199999,514,518,683,930,1065,5,1,99999,19019,9436,AR
