fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,state,county,cousub,pop2017,hu2017,state_alpha
4805999999,761,789,1028,1383,1764,48,59,99999,13660,6637,TX
4825399999,761,789,1028,1383,1764,48,253,99999,19970,7292,TX
4844199999,761,789,1028,1383,1764,48,441,99999,135370,56978,TX
7200399999,401,414,472,602,720,72,3,99999,39470,17385,PR
7200599999,401,414,472,602,720,72,5,99999,55720,27301,PR
7201199999,401,414,472,602,720,72,11,99999,27890,12557,PR
7207199999,401,414,472,602,720,72,71,99999,43315,20354,PR
7208199999,401,414,472,602,720,72,81,99999,27320,12228,PR
7209999999,401,414,472,602,720,72,99,99999,37675,15744,PR
7211799999,401,414,472,602,720,72,117,99999,14525,9447,PR
7213199999,401,414,472,602,720,72,131,99999,38970,17733,PR
7214199999,379,390,444,552,602,72,141,99999,30210,13315,PR
3913399999,607,712,911,1147,1235,39,133,99999,162080,68623,OH
3915399999,607,712,911,1147,1235,39,153,99999,541320,245731,OH
1300799999,668,690,814,1054,1215,13,7,99999,3250,1770,GA
1309599999,668,690,814,1054,1215,13,95,99999,91520,40702,GA
1317799999,668,690,814,1054,1215,13,177,99999,29215,10877,GA
1327399999,668,690,814,1054,1215,13,273,99999,8980,4177,GA
1332199999,668,690,814,1054,1215,13,321,99999,20810,9316,GA
4104399999,839,908,1197,1681,1994,41,43,99999,121075,49688,OR
3600199999,873,984,1205,1499,1634,36,1,99999,308580,140088,NY
3608399999,873,984,1205,1499,1634,36,83,99999,159800,72663,NY
3609199999,873,984,1205,1499,1634,36,91,99999,226630,103766,NY
3609399999,873,984,1205,1499,1634,36,93,99999,155240,69062,NY
3609599999,873,984,1205,1499,1634,36,95,99999,31610,17465,NY
3500199999,669,830,1013,1450,1742,35,1,99999,674855,291099,NM
3504399999,669,830,1013,1450,1742,35,43,99999,138815,55163,NM
3505799999,669,830,1013,1450,1742,35,57,99999,15535,7990,NM
3506199999,669,830,1013,1450,1742,35,61,99999,75845,30894,NM
2204399999,569,684,862,1142,1261,22,43,99999,22305,9201,LA
2207999999,569,684,862,1142,1261,22,79,99999,132080,57515,LA
4202599999,851,962,1230,1591,1668,42,25,99999,63985,34703,PA
4207799999,851,962,1230,1591,1668,42,77,99999,360775,145096,PA
4209599999,851,962,1230,1591,1668,42,95,99999,300940,122452,PA
