cfips,pop_2010,pop_2015,pop_2020,pop_5yr_pct_chg,pop_10yr_pct_chg
01001,54761.0,54903.0,56145.0,2.262171466040107,2.5273461039791094
01003,183121.0,203101.0,229287.0,12.89309259924865,25.21065306545945
01005,27325.0,26300.0,24589.0,-6.505703422053232,-10.0128087831656
01007,22858.0,22553.0,22136.0,-1.8489779630204408,-3.1586315513168257
01009,57372.0,57535.0,57879.0,0.597896932302077,0.883706337586279
01011,10876.0,10404.0,9976.0,-4.1138023836985775,-8.275101140125045
01013,20933.0,20168.0,19504.0,-3.2923443078143593,-6.826541823914393
01015,118420.0,115550.0,113469.0,-1.800951968844656,-4.180881607836514
01017,34105.0,33991.0,32865.0,-3.3126415815951282,-3.6358305233836683
01019,25968.0,25739.0,26294.0,2.1562609269979407,1.2553912507701788
01021,43645.0,43693.0,44397.0,1.6112420753896506,1.7229923244357888
01023,13848.0,13237.0,12418.0,-6.187202538339503,-10.326400924321202
01025,25767.0,24711.0,23291.0,-5.746428715956457,-9.609190049287848
01027,13897.0,13415.0,13112.0,-2.2586656727543795,-5.648701158523422
01029,15004.0,14923.0,14967.0,0.294846880654024,-0.24660090642495336
01031,50204.0,51004.0,53230.0,4.364363579327112,6.027408174647438
01033,54527.0,54439.0,55411.0,1.7854846709160712,1.621215177801823
01035,13234.0,12677.0,11851.0,-6.515737161789067,-10.450355145836483
01037,11779.0,10935.0,10650.0,-2.606310013717421,-9.584854401901689
01039,37810.0,37566.0,36930.0,-1.6930202842996327,-2.3274266067177996
01041,13868.0,13851.0,13681.0,-1.2273482059057108,-1.3484280357657918
01043,80456.0,81771.0,84515.0,3.3557129055533137,5.044993536840012
01045,50396.0,49428.0,48959.0,-0.9488549000566481,-2.8514167791094533
01047,43855.0,40947.0,36098.0,-11.84213739712311,-17.687834910500513
01049,71133.0,71065.0,71658.0,0.8344473369450504,0.7380540677322761
01051,79558.0,80903.0,82158.0,1.5512403742753669,3.2680560094522235
01053,38352.0,37676.0,36281.0,-3.7026223590614715,-5.399979140592407
01055,104440.0,103033.0,102371.0,-0.6425125930527112,-1.981041746457296
01057,17232.0,16711.0,16241.0,-2.8125187002573155,-5.750928505106778
01059,31746.0,31532.0,31507.0,-0.07928453634403146,-0.7528507528507529
01061,26778.0,26645.0,26411.0,-0.8782135485081629,-1.3705280454104116
01063,8990.0,8509.0,7990.0,-6.099424139146786,-11.123470522803114
01065,15745.0,15016.0,14670.0,-2.3042088438998403,-6.82756430612893
01067,17293.0,17097.0,17223.0,0.7369713984909634,-0.4047880645347829
01069,101800.0,104326.0,106580.0,2.160535245288806,4.695481335952849
01071,53207.0,52229.0,51582.0,-1.2387753929809109,-3.0541094216926346
01073,658230.0,660717.0,655342.0,-0.8135101715257819,-0.4387524117709615
01075,14496.0,13931.0,13764.0,-1.198765343478573,-5.049668874172186
01077,92738.0,92524.0,93368.0,0.9121957546150188,0.6793331751816947
01079,34314.0,33116.0,32857.0,-0.7820992873535452,-4.246080317071749
01081,140815.0,157162.0,166831.0,6.152250544024637,18.475304477505947
01083,83168.0,91596.0,102228.0,11.60749377702083,22.91746825702193
01085,11294.0,10350.0,9641.0,-6.85024154589372,-14.636089959270409
01087,21515.0,19331.0,17895.0,-7.428482747917852,-16.825470601905646
01089,336114.0,353194.0,379453.0,7.434724259189001,12.894137108243036
