Airport_Name,Abriviation,City,Country,Traffic,Latitude,Longitude
Sarasota Bradenton International Airport,SRQ,Sarasota,United States,"1,186,419",27.3951,-82.5538
Greater Rochester International Airport,ROC,Rochester,United States,"1,186,002",43.1225,-77.6666
Burlington International Airport,BTV,Burlington,United States,"1,151,000",44.4707,-73.1516
St Petersburg Clearwater International Airport,PIE,St. Petersburg,United States,"965,000",27.9122,-82.6891
Northwest Florida Beaches International Airport,ECP,Panama City,United States,"910,000",30.3549,-85.7995
Fresno Yosemite International Airport,FAT,Fresno,United States,"805,252",36.7758,-119.7181
Mc Allen Miller International Airport,MFE,Mcallen,United States,"714,067",26.1771,-98.2391
Tallahassee Regional Airport,TLH,Tallahassee,United States,"692,724",30.3954,-84.3451
Rick Husband Amarillo International Airport,AMA,Amarillo,United States,"679,653",35.2186,-101.7054
Santa Barbara Municipal Airport,SBA,Santa Barbara,United States,"658,955",34.4272,-119.8399
Long Island Mac Arthur Airport,ISP,Islip,United States,"620,000",40.7956,-73.0988
