cfips,PCA_dim_1,PCA_dim_2,PCA_dim_3,PCA_dim_4,PCA_dim_5,PCA_dim_6,PCA_dim_7,PCA_dim_8,PCA_dim_9,PCA_dim_10
01001,1.6403335100410557,0.2606673126207581,-0.1500692004510508,0.47575926509974475,0.13056072389850426,-0.03519510948687844,-0.3327138451322056,-0.02165715501712051,-0.23167121163432236,-0.1274409450671539
01003,1.604294461209044,0.41202332259092167,-0.16625690850909575,0.2407188236302676,-0.20892941364044124,0.08079560108926243,0.0381353724161337,-0.15306791397967856,-0.36109912304780306,0.002605870448735826
01005,0.7423975063670768,0.11544860762175589,0.9074384262345419,0.3179492207532884,0.6520566649476695,-0.40186452428764696,0.09654632357529361,0.46324190774753826,0.1203624618957356,-0.33084397587581327
01007,0.8120277246080299,0.04731574647030762,1.0856097315299564,0.2910324603106856,0.6946054732207564,-0.33990798885128837,0.04546960713041464,0.6699576193452439,0.19961027694694256,-0.6462881789766293
01009,0.8634533482972011,0.10131378998118012,0.8767747779306174,0.4506039842024981,0.5085789582087884,-0.47647843965041076,0.006022793562405558,0.5668767769612668,-0.16581174387729908,-0.2013190297250424
01011,0.15180801221351303,0.028446762182897507,1.1226039707919018,-0.46311353028964275,0.10201836472395592,-0.034605210201369745,0.19675687869039984,0.09517524539714187,-0.023228338065419865,0.23001228507075316
01013,-0.36494126543643457,-0.4978913956237888,0.08060575354623992,0.142129232082991,0.23261692324334812,-0.3429583352719633,-0.215039411931228,-0.31679008453997015,-0.5289423545299277,-0.14253528262716347
01015,0.6859018856861284,0.16181288924101284,0.57719538277696,0.14491636896086962,0.054949841460731015,-0.5463267977963147,0.47903616321093295,0.32097883244144687,-0.4095004131484427,0.5640735535392922
01017,0.22705785289639685,-0.055108220187187425,1.1209152526595618,0.18780892555373654,0.3087754204389538,0.04198441860541251,0.37417052747194535,-0.25327645711359636,-0.18686314224824174,-0.054842445366124766
01019,-0.19485961217846132,0.1884812524223456,1.3856852374056605,-0.11714450171814303,-0.005055538983825906,-0.0539724724346822,-0.10014856217729408,-0.006182743603094152,-0.16430812795042404,0.010503931495196493
01021,-0.12447731592551199,-0.4786381759984686,-0.009616745589459307,-0.6595411823907278,0.229634717805193,-0.35729902487082366,0.1785873195040129,-0.21226290699289763,0.12145150355036187,0.10749545123452542
01023,-0.43430975028433133,0.2819183200509448,-0.10828676658308986,0.5575803244389591,0.5444803123832955,-0.5761046517010948,-0.012689273906595862,-0.09634315411969796,-0.2146818582200295,0.16949189637295695
01025,1.1190551217288076,-0.3130483726037458,0.5729757942582996,0.2287877026194834,0.5512211933088005,-0.08756036555647753,0.37695697788168475,0.16876574695532495,-0.29054387248890934,-0.06485429495124959
01027,0.19257917798192759,0.057730482457110696,1.165264590385636,-0.39951001140412135,0.15498489832190435,-0.08057270427580358,0.1812947680378207,0.0750114327733859,0.007683214118432534,0.22427055428029485
01029,-0.11320342343121756,-0.6196569275624685,-0.021919616980459335,0.2399548193103201,0.4701044211377743,-0.20489155091459843,-0.1888875606629255,-0.27356350380204036,-0.5791769778329827,-0.302755575085713
01031,-0.18556940273690584,0.19299955922281803,1.4055008023015727,-0.14589803119625594,-0.0038663423029805465,-0.03910887705137778,-0.07755897033712433,-0.004627101054183024,-0.14091107150812915,-0.027346826762424278
01033,1.7871274652405005,0.05239797280915033,-0.24394342946039654,-0.03561810638975471,-0.05790869573487359,-0.09680744201947297,0.10503723043695676,-0.4120506697082981,-0.1807976397292643,-0.10028436091942142
01035,-0.4569864537849582,-0.8390491440210749,-0.08311600178391385,0.13462409635668435,-0.012559957061326878,-0.12916437899562688,-0.24844252352708945,-0.2277829473567801,-0.15882742587285412,-0.3766661674155621
01037,-0.7148422427154737,-0.6736680041791181,0.16852000475022785,-0.03341467016831148,-0.29885726322870715,-0.2658232432029486,-0.3681812774132953,-0.15792335181453557,-0.03853840522775888,-0.22747377033536467
01039,-0.03751652154253324,-0.015901049750162783,1.1437078846883624,0.2614855449280681,0.07454230072069877,0.2033530244460345,-0.16245892413137808,0.06684769728234027,-0.06330437911517042,-0.23893919422583096
01041,0.782881139796245,-0.23927934206305587,0.9110383268935709,0.05612568455159503,-0.034002432877249855,-0.31437967659925425,0.010155184765972323,0.3144473073576717,-0.2451244873561254,-0.09094206357545243
01043,0.35106484340566196,-0.4836325364637259,-0.1973177270316786,0.5130863009460401,0.4654760141021504,-0.5711938945187303,-0.2993370584321579,0.47228757697407675,-0.2569198262300106,-0.22914746859942162
